|DocCount|IDF
alaska|18|6.853416415882289
operation|11|7.345892900980083
hilcorp|1|9.743788173778453
dollar56bn|3|8.645175885110344
operator|10|7.441203080784407
frontline|3|8.645175885110344
surge|141|4.795028283400285
reach|37|6.1328702611342285
dispute|30|6.342590792116297
largest|50|5.831765168350307
cuadrilla|18|6.853416415882289
orsted|1|9.743788173778453
pursues|1|9.743788173778453
lancashire|5|8.134350261344352
tariff|18|6.853416415882289
coercion|1|9.743788173778453
offshore|82|5.3370689265142
australia|12|7.2588815239904525
dollar418m|1|9.743788173778453
suspends|8|7.664346632098617
biggest|102|5.118815360494182
yet|25|6.524912348910252
premier|42|6.006118555495084
amid|285|4.0912989935098025
halve|2|9.050640993218508
emergency|11|7.345892900980083
petroleum|33|6.247280612311973
shutdown|21|6.69926573605503
join|22|6.652745720420137
naval|2|9.050640993218508
coalition|5|8.134350261344352
goldman|65|5.569400903882816
claw|5|8.134350261344352
way|41|6.030216107074145
contention|1|9.743788173778453
reliance|19|6.799349194612013
falling|65|5.569400903882816
silver|418|3.708306741253697
lining|3|8.645175885110344
gibraltar|4|8.357493812658563
reject|8|7.664346632098617
bid|35|6.188440112289039
seize|6|7.952028704550398
iranian|91|5.232928667261603
open|31|6.309800969293307
start|55|5.736454988545982
dollar9bn|4|8.357493812658563
clawback|1|9.743788173778453
mukesh|1|9.743788173778453
ambani|1|9.743788173778453
wealthiest|1|9.743788173778453
man|7|7.79787802472314
bag|3|8.645175885110344
rich|8|7.664346632098617
prize|4|8.357493812658563
seismic|2|9.050640993218508
curb|41|6.030216107074145
review|45|5.937125684008134
decide|5|8.134350261344352
path|4|8.357493812658563
detention|1|9.743788173778453
slip|241|4.2589912402877985
below|228|4.314442544824012
dollar59|4|8.357493812658563
worry|180|4.550831322888243
climb|102|5.118815360494182
above|252|4.21435908626703
dollar60|47|5.893640572068395
barrel|213|4.382496008069028
deepens|11|7.345892900980083
indian|21|6.69926573605503
partnership|7|7.79787802472314
refining|23|6.608293957849304
unit|20|6.748055900224462
chemistry|1|9.743788173778453
17|16|6.971199451538672
discovery|52|5.792544455197026
maracaibo|1|9.743788173778453
portrait|1|9.743788173778453
shattered|1|9.743788173778453
venezuelan|35|6.188440112289039
city|7|7.79787802472314
renminbis|1|9.743788173778453
trajectory|2|9.050640993218508
ovo|2|9.050640993218508
woe|61|5.632914309605142
guard|6|7.952028704550398
pulled|3|8.645175885110344
last|74|5.439723080574283
bond|68|5.524280468602346
pique|1|9.743788173778453
